Neighborhood,Street,Address1,Address2,Intersection,From,To,Permitee,Contractor,Permit,ProjectCategory,ConstructionNotes,WorkSchedule,ExpirationDate,EstimatedCompletionDate,RoadwayPlatesInUse,SidewalkPlatesInUse,Status,TrenchLength,ContactNumber,NumberofWorkZones,District
SOUTH DORCHESTER/MATTAPAN,PARK ST,508,,,,,National Grid,National Grid,EXCA-705665,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 29 2017 12:00AM,May 29 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,PENHALLOW ST,8,16,,,,Verizon,Parkside Utility Con,EXCA-706369,MAINTENANCE,REPLACE DUCT,Days & Weekends,Jun 20 2017 12:00AM,Jun 20 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,07
SOUTH DORCHESTER/MATTAPAN,POPES HILL ST,2,,,,,Verizon,Parkside Utility Con,EXCA-699098,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jul 12 2017 12:00AM,Jul 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,RADFORD LN,0,,,,,National Grid,Feeney Bros Excavation,EXCA-685573,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,Jul  7 2017 12:00AM,Jul  7 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,431,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,REDWOOD ST,6,,,,,Verizon,Parkside Utility Con,EXCA-705553,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,May 21 2017 12:00AM,,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,07
SOUTH DORCHESTER/MATTAPAN,RIVER ST,280,,,,,National Grid,National Grid,EMER-661181,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,May 19 2017 12:00AM,May 19 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,RIVER ST,473,,,,,Mathias Corp,Mathias Corp,EXCA-714306,EMERGENCY,EMERGENCY SEWER REPAIR,Days & Weekends,Jun  2 2017 12:00AM,Jun  2 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-524-4372,1,07
SOUTH DORCHESTER/MATTAPAN,ROWENA ST,0,,,,,National Grid,Feeney Bros Excavation,EXCA-685575,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,Jul  7 2017 12:00AM,Jul  7 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,442,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,ROZELLA ST,3,,,,,Verizon,Parkside Utility Con,EXCA-699093,,,Days & Weekends,Jul  8 2017 12:00AM,Jul  8 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,SAINT MARKS RD,83,85,,,,Crown Castle,Waveguide,EXCA-715192,SERVICE,INSTALL CONDUIT,Days & Weekends,Jun  9 2017 12:00AM,Jun  9 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,SHEPTON ST,49,,,,,National Grid,National Grid,EMER-665106,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun  9 2017 12:00AM,Jun  9 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,SOUTHERN AV,,,,,,Boston Water & Sewer Commission,RJV Construction,EXCA-715302,NEW CONDUIT AND/OR MAIN,INSTALLATION OF WATER MAIN,Days & Weekends,Jul  4 2017 12:00AM,Jul  4 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,STANTON ST,4,55,,,,Eversource Energy Electric,Eversource Electric,EMER-678214,EMERGENCY,SERVICE OUTAGE,Days & Weekends,Jun  8 2017 12:00AM,Jul  1 2017 12:00AM,1,14,PLATES PINNED & BERMED,,800-592-2000,1,07
SOUTH DORCHESTER/MATTAPAN,TREMLETT ST,37,,,,,National Grid,National Grid,EMER-661179,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,May 19 2017 12:00AM,May 19 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,VAN WINKLE ST,3,,,,,National Grid,Feeney Bros Excavation,EXCA-685585,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,Jul  7 2017 12:00AM,Jul  7 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,409,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,VAN WINKLE ST,5,,,,,Verizon,Parkside Utility Con,EXCA-706376,MAINTENANCE,REPLACE DUCT,Days & Weekends,Jun 20 2017 12:00AM,Jun 20 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,07
SOUTH DORCHESTER/MATTAPAN,WALDECK ST,58,,PARK ST,,,National Grid,National Grid,EXCA-695280,SERVICE,NEW GAS SERVICE,Days & Weekends,May  9 2017 12:00AM,May 30 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,WASHINGTON ST,1036,,,,,National Grid,National Grid,EMER-665055,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,May 24 2017 12:00AM,May 24 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,WASHINGTON ST,751,,,,,Verizon,Parkside Utility Con,EXCA-707456,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jun 28 2017 12:00AM,Jun 28 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,07
SOUTH DORCHESTER/MATTAPAN,WASHINGTON ST,871,,,,,Verizon,Parkside Utility Con,EXCA-713015,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jun 28 2017 12:00AM,Jun 28 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,07
SOUTH DORCHESTER/MATTAPAN,WENLOCK ST,13,,,,,Mass Pipeline,Mass Pipeline,EXCA-697080,SERVICE,NEW WATER AND SEWER INSTALLATION,Days & Weekends,Apr 26 2017 12:00AM,Apr 26 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,WILMINGTON AV,91,,,,,National Grid,National Grid,EMER-,EMERGENCY,SINK HOLE REPAIR,Days & Weekends,May 12 2017 12:00AM,May 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,WRENTHAM ST,141,155,,,,Verizon,Parkside Utility Con,EXCA-704289,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,May 18 2017 12:00AM,,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,07
W ROXBURY/ROSLINDALE,AUGUSTUS ST,35,37,,,,LVMJ Corp,LVMJ Corp,EXCA-719933,SERVICE,"INSTALLATION OF NEW WATER, AND SEWER",Days & Weekends,Jul  6 2017 12:00AM,Jul  6 2017 12:00AM,,,,,401-924-1065,1,06
W ROXBURY/ROSLINDALE,BEECH ST,183,,,,,Verizon,Parkside Utility Con,EXCA-716782,MAINTENANCE,REPLACE CONDUIT,Days & Weekends,Jul 21 2017 12:00AM,Jul 21 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,06
W ROXBURY/ROSLINDALE,BELGRADE AV,20,,,,,Comcast,P V Barone,EXCA-709486,MAINTENANCE,CONDUIT REPAIR,Days & Weekends,Jun 17 2017 12:00AM,Jun 17 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-593-2426,1,06
W ROXBURY/ROSLINDALE,BILLINGS ST,58,,,,,National Grid,National Grid,EMER-665110,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun 10 2017 12:00AM,Jun 10 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,BILLINGS ST,62,,,,,National Grid,Feeney Bros Excavation,EXCA-496251,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,Jul 13 2017 12:00AM,Aug 30 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,528,877-304-1148,1,06
W ROXBURY/ROSLINDALE,BONAIR ST,,,,DWINELL ST,VFW PKWY,Boston Public Works,Lorusso Corp,,RESURFACING,"RESURFACING YOUR STREET, MULTI PHASE WORK ORDER: MILL/ RESET CASTINGS/ PAVE",Days & Weekends,,,,,MILLED,,617-635-4950,1,06
W ROXBURY/ROSLINDALE,BURARD ST,,,,LAGRANGE ST,DENT ST,Boston Public Works,Lorusso Corp,,RESURFACING,"RESURFACING YOUR STREET, MULTI PHASE WORK ORDER: MILL/ RESET CASTINGS/ PAVE",Days & Weekends,,,,,MILLED,,617-635-4951,1,06
W ROXBURY/ROSLINDALE,CASS ST,38,,,,,Boston Water & Sewer Commission,BWSC,EMER-701468,EMERGENCY,LEAK REPAIR,Days & Weekends,Jun  8 2017 12:00AM,Jun  8 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,06
W ROXBURY/ROSLINDALE,CENTRE ST,,,WELD ST,,,Eversource Electric,Riley Bros,EXCA-705655,SERVICE,CONNECTION OF SERVICE,Days & Weekends,Jun  8 2017 12:00AM,Jun  8 2017 12:00AM,,,NO START,,800-592-2000,1,06
W ROXBURY/ROSLINDALE,CENTRE ST,1780,,,,,National Grid,National Grid,EMER-665086,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun  4 2017 12:00AM,Jun 20 2017 12:00AM,2,0,PLATES PINNED & BERMED,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,COLBERG AV,,,,BEECH ST,REXHAME ST,Boston Public Works,Lorusso Corp,,RESURFACING,"RESURFACING YOUR STREET, MULTI PHASE WORK ORDER: MILL/ RESET CASTINGS/ PAVE",Days & Weekends,,,,,MILLED,,617-635-4951,1,06
W ROXBURY/ROSLINDALE,COLBERG AV,124,,,,,Verizon,Parkside Utility Con,EXCA-716777,MAINTENANCE,REPLACE CONDUIT,Days & Weekends,Jul 21 2017 12:00AM,Jul 21 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,06
W ROXBURY/ROSLINDALE,COREY ST,1,44,,,,National Grid,Feeney Brothers Excavation,EXCA-698681,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jun 30 2017 12:00AM,Aug 30 2017 12:00AM,5,,PLATES PINNED & BERMED,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,CORINTH ST,1,49,,,,National Grid,Feeney Brothers Excavation,EXCA-530220,NEW CONDUIT AND/OR MAIN,INSTALLATION OF NEW GAS MAIN,Nights,Jul 11 2017 12:00AM,Aug 30 2017 12:00AM,9,,PLATES PINNED & BERMED,651,877-304-1203,1,06
W ROXBURY/ROSLINDALE,DELANO PK,,,,,,National Grid,National Grid,EXCA-712692,SERVICE,RELAY GAS MAIN,Days & Weekends,Jun 28 2017 12:00AM,Jun 28 2017 12:00AM,,,,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,DENT ST,,,,LAGRANGE ST,WESTMOUNT AV,Boston Public Works,Lorusso Corp,,RESURFACING,"RESURFACING YOUR STREET, MULTI PHASE WORK ORDER: MILL/ RESET CASTINGS/ PAVE",Days & Weekends,,,,,MILLED,,617-635-4951,1,06
W ROXBURY/ROSLINDALE,EASWOOD CIR,1,46,,,,National Grid,Feeney Brothers,EXCA-712179,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jun 24 2017 12:00AM,Nov 30 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,EDGEMERE RD,83,,,,,National Grid,National Grid,EXCA-719295,SERVICE,INSTALLATION OF NEW GAS SERVICE,Days & Weekends,Jul 14 2017 12:00AM,Jul 14 2017 12:00AM,,,,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,FAWNDALE RD,70,,,,,National Grid,National Grid,EXCA-707800,NEW CONDUIT AND/OR MAIN,INSTALLATION OF NEW GAS MAIN,Days & Weekends,Jun 13 2017 12:00AM,Jun 13 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,FLETCHER ST,106,,,,,National Grid,Feeney Brothers Excavation,EXCA-685587,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,Jul  3 2017 12:00AM,Jul  3 2017 12:00AM,,,FLUSH TO GRADE,270,877-304-1148,1,06
W ROXBURY/ROSLINDALE,GARDNER ST,,,,SPRING ST,VFW PKWY,Boston Public Works,Lorusso Corp,,RESURFACING,"RESURFACING YOUR STREET, MULTI PHASE WORK ORDER: MILL/ RESET CASTINGS/ PAVE",Days & Weekends,,,,,MILLED,,617-635-4951,1,06
W ROXBURY/ROSLINDALE,GARDNER ST,131,,,,,Tri Construction,Tri Construction,EXCA-710899,SERVICE,"INSTALLATION OF DRAIN, WATER, AND SEWER",Days & Weekends,May 29 2017 12:00AM,May 29 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-212-4407,1,06
W ROXBURY/ROSLINDALE,GROVE ST,2,40,,,,National Grid,Feeney Brothers Excavation,EXCA-620465,SERVICE,RELAY MAIN,Days & Weekends,Jun  1 2017 12:00AM,Jun  1 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,HAWTHORNE ST,73,,,,,National Grid,National Grid,EXCA-710797,SERVICE,NEW GAS SERVICE,Days & Weekends,Jun 18 2017 12:00AM,Jun 18 2017 12:00AM,,,,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,HYDE PARK AV,198,,,,,Boston Water & Sewer Commission,BWSC,EMER-701428,EMERGENCY,WATER LEAK,Days & Weekends,May 16 2017 12:00AM,May 16 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,06
W ROXBURY/ROSLINDALE,HYDE PARK AV,335,,,,,MWRA,MWRA,EXCA-691638,MAINTENANCE,REPAIR WATER LEAK,Days & Weekends,May 23 2017 12:00AM,May 23 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,06
W ROXBURY/ROSLINDALE,JOHNSWOOD RD,81,,,,,Boston Water & Sewer Commission,BWSC,EMER-701471,EMERGENCY,LEAK REPAIR,Days & Weekends,Jun 10 2017 12:00AM,Jun 10 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,06
W ROXBURY/ROSLINDALE,JOYCE KILMER RD,65,,,,,National Grid,National Grid,EMER-668138,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,Jun 15 2017 12:00AM,Jun 15 2017 12:00AM,,,,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,LAGRANGE ST,554,,,,,National Grid,National Grid,EMER-665109,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun 10 2017 12:00AM,Jun 10 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,LAURIE AV,21,65,,,,National Grid,Feeney Brothers,EXCA-496246,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jul 13 2017 12:00AM,Nov 30 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,LENISTON ST,41,,,,,Corbett Excavation,Corbett Excavation,EXCA-,EMERGENCY,,Days & Weekends,Jun  7 2017 12:00AM,Jun  7 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,06
W ROXBURY/ROSLINDALE,MAPLE ST,122,,,,,National Grid,National Grid,EMER-,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun  7 2017 12:00AM,Jun  7 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,MONTCLAIR AV,43,,,,,National Grid,Feeney Brothers Excavation,EXCA-685588,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,Jul  3 2017 12:00AM,Jul 15 2017 12:00AM,,,FLUSH TO GRADE,1260,877-304-1148,1,06
W ROXBURY/ROSLINDALE,MURRAY HILL RD,6,10,,,,Boston Public Works,Maverick Construction,EXCA-720895,SERVICES,INSTALLATION OF BASES & HANDHOLES,Days & Weekends,Jul  2 2017 12:00AM,Jul  2 2017 12:00AM,,,,,617-635-4951,1,06
W ROXBURY/ROSLINDALE,OAKMERE ST,80,102,,,,National Grid,Feeney Brothers,EXCA-496250,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jul 13 2017 12:00AM,Nov 30 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,PARAGON RD,,,,NORTHDALE ST,GLENHAVEN ST,Boston Public Works,Lorusso Corp,,RESURFACING,"RESURFACING YOUR STREET, MULTI PHASE WORK ORDER: MILL/ RESET CASTINGS/ PAVE",Days & Weekends,,,,,MILLED,,617-635-4951,1,06
W ROXBURY/ROSLINDALE,PARK ST,41,,,,,Boston Public Works,Maverick,EXCA-713366,SERVICE,INSTALL BASE,Days & Weekends,Jun 16 2017 12:00AM,Jun 16 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,06
W ROXBURY/ROSLINDALE,PHEASANT ST,1,24,,,,National Grid,Feeney Brothers Excavation,EXCA-712176,SERVICE,RELAY GAS MAIN,Days & Weekends,Jun 24 2017 12:00AM,Jun 24 2017 12:00AM,3,0,PLATES PINNED & BERMED,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,PLEASANT VALLEY CIR,12,,,,,National Grid,National Grid,EXCA-698684,SERVICE,NEW GAS SERVICE,Days & Weekends,May 23 2017 12:00AM,May 23 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,REALTON RD,,,,WELD ST,WILLOWDEAN AV,Boston Public Works,Lorusso Corp,,RESURFACING,"RESURFACING YOUR STREET, MULTI PHASE WORK ORDER: MILL/ RESET CASTINGS/ PAVE",Days & Weekends,,,,,MILLED,,617-635-4951,1,06
W ROXBURY/ROSLINDALE,ROBERTS ST,67,,,,,National Grid,National Grid,EMER-665076,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,Jun  2 2017 12:00AM,Jun  2 2017 12:00AM,,,,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,RUNNING BROOK RD,55,,,,,National Grid,National Grid,EXCA-715439,SERVICE,RELAY GAS MAIN,Days & Weekends,Jul  4 2017 12:00AM,Jul  4 2017 12:00AM,,,,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,RUTLEDGE ST,7,26,,,,National Grid,Feeney Brothers Excavation,EXCA-478058,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,May 25 2017 12:00AM,May 30 2017 12:00AM,5,,PLATES PINNED & BERMED,735,877-304-1148,1,06
W ROXBURY/ROSLINDALE,SPRING ST,156,,,,,National Grid,National Grid,EMER-655769,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 12 2017 12:00AM,May 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,SPRING ST,312,,,,,Keash Excavating,Keash Excavating,EXCA-708504,SERVICE,CUT AND CAP,Days & Weekends,May 24 2017 12:00AM,May 24 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,857-231-1171,1,06
W ROXBURY/ROSLINDALE,SUNSET HILL RD,5,,,,,National Grid,Feeney Brothers Excavation,EXCA-704265,NEW CONDUIT AND/OR MAIN,INSTALL GAS MAIN,Days & Weekends,Jul  3 2017 12:00AM,Aug 15 2017 12:00AM,5,0,PLATES PINNED & BERMED,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,SWAN ST,1,999,,,,National Grid,Feeney Brothers Excavation,EXCA-712177,SERVICE,RELAY GAS MAIN,Days & Weekends,Jun 24 2017 12:00AM,Jun 24 2017 12:00AM,1,0,PLATES PINNED & BERMED,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,SYCAMORE ST,174,,,,,National Grid,National Grid,EMER-661170,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,May 18 2017 12:00AM,May 18 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,SYCAMORE ST,174,,,,,National Grid,National Grid,EMER-661177,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 18 2017 12:00AM,May 18 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,TEMPLE TE,,,,TEMPLE ST,PERHAM ST,Boston Public Works,Lorusso Corp,,RESURFACING,"RESURFACING YOUR STREET, MULTI PHASE WORK ORDER: MILL/ RESET CASTINGS/ PAVE",Days & Weekends,,,,,MILLED,,617-635-4951,1,06
W ROXBURY/ROSLINDALE,WASHINGTON ST,4196,,,,,National Grid,National Grid,EMER-,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun  8 2017 12:00AM,Jun  8 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,WEST ROXBURY PKWY,392,,,,,National Grid,National Grid,EMER-661162,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 13 2017 12:00AM,May 13 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,WOODLEY AV,0,,,,,National Grid,National Grid,EXCA-718732,SERVICE,NEW GAS SERVICE,Days & Weekends,Jul 13 2017 12:00AM,Jul 13 2017 12:00AM,,,,,877-304-1148,1,06
W ROXBURY/ROSLINDALE,WYCLIFF ST,,,,BAKER ST,GARDNER ST,Boston Public Works,Lorusso Corp,,RESURFACING,"RESURFACING YOUR STREET, MULTI PHASE WORK ORDER: MILL/ RESET CASTINGS/ PAVE",Days & Weekends,,,,,MILLED,,617-635-4951,1,06
SOUTH BOSTON,A ST,117,121,,,,Eversource Electric,Riley Brothers,EXCA-703773,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,Jul  1 2017 12:00AM,Jul  1 2017 12:00AM,,,NO START,,,1,05
SOUTH BOSTON,A ST,182,,,IRON,RICHARDS,James W Flett,James W Flett,EXCA-709594,EMERGENCY,INSTALLATION OF FIREPIPE,Nights,May 26 2017 12:00AM,May 26 2017 12:00AM,5,,PLATES PINNED & BERMED,,617-756-1288,1,05
SOUTH BOSTON,A ST,80,,,,,National Grid,National Grid,EMER-661180,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,May 19 2017 12:00AM,May 19 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,05
SOUTH BOSTON,ATHENS ST,124,,,,,LVMJ,LVMJ,EXCA-717684,SERVICE,CUT AND CAP EXISTING SERVICE,Days & Weekends,Jul  2 2017 12:00AM,Jul  2 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,05
SOUTH BOSTON,ATHENS ST,61,,,,,Landmark Utility,Landmark Utility,EXCA-653957,SERVICE,"INSTALLATION OF NEW WATER, SEWER, AND DRAIN",Days & Weekends,Jun  1 2017 12:00AM,Jun  1 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,781-589-5730,1,05
SOUTH BOSTON,B ST,28,30,,,,Comcast,P V Barone,EXCA-709481,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jun 17 2017 12:00AM,Jun 17 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-556-9979,1,05
SOUTH BOSTON,BOWEN ST,200,,,,,National Grid,Feeney Brothers Excavation,EXCA-685586,SERVICE,RELAY GAS MAIN,Days & Weekends,Jun  3 2017 12:00AM,Jun  3 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,05
SOUTH BOSTON,CONGRESS ST,270,,,,,Eversource Electric,Eversource Electric,EMER-679420,EMERGENCY,ELECTRICAL OUTAGE,Days & Weekends,May 30 2017 12:00AM,May 30 2017 12:00AM,,,,,800-592-2000,1,05
SOUTH BOSTON,CONGRESS ST,338,,,,,Verizon,Parkside Utility Con,EXCA-705872,SERVICE,PLACE DUCT,Days & Weekends,Jun 27 2017 12:00AM,Jun 27 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,05
SOUTH BOSTON,CONGRESS ST,343,381,,,,Level 3,Phoenix Communications,EXCA-707906,NEW CONDUIT AND/OR MAIN,INSTALL CONDUIT,Weekends,Jun  3 2017 12:00AM,Jun 24 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,534,508-438-0360,1,05
SOUTH BOSTON,D ST,256,,ATHENS ST,,,Eversource Electric,Riley Brothers,EXCA-712202,SERVICE,INSTALL CONDUIT,Days & Weekends,Jun 28 2017 12:00AM,Jun 28 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,05
SOUTH BOSTON,D ST,400,,,,,The Dow Company,The Dow Company,EXCA-717295,MAINTENANCE,CUT AND CAP,Days & Weekends,Jun 16 2017 12:00AM,Jun 16 2017 12:00AM,7,,PLATES PINNED & BERMED,,978-828-4417,1,05
SOUTH BOSTON,DORCHESTER ST,194,,,,,Boston Public Works,Maverick Construction,EXCA-696006,SERVICE,INSTALL CONDUIT,Days & Weekends,May 21 2017 12:00AM,May 21 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,05
SOUTH BOSTON,E ST,,,,WEST 1ST ST,FARGO ST,Boston Public Works,Mario Susi & Sons,,RESURFACING,"RESURFACING YOUR STREET, MULTI PHASE WORK ORDER: MILL/ RESET CASTINGS/ PAVE",Days & Weekends,,,,,MILLED,,617-635-4951,1,05
SOUTH BOSTON,E ST,330,,,,,Comcast,Mirra Co,EXCA-711413,MAINTENANCE,CONDUIT REPAIR,Days & Weekends,Jun 22 2017 12:00AM,Jun 22 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,05
SOUTH BOSTON,EAST BROADWAY,,,,,,Brooksdale Construction,Haven Construction,EXCA-707504,SERVICE,INSTALLATION OF NEW DRAIN SERVICE,Days & Weekends,May 21 2017 12:00AM,May 21 2017 12:00AM,2,,PLATES PINNED & BERMED,,617-719-7523,1,05
SOUTH BOSTON,EAST EIGHTH ST,241,,,,,National Grid,National Grid,EMER-665063,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,May 26 2017 12:00AM,May 26 2017 12:00AM,,,,,877-304-1148,1,05
